pad_nr,pad_name,type
0,config_tc_pad,CONFIG_TC_PAD_DEF
1,corner_0,PAD_CORNER
2,pwr_mng_north,PAD_PWR_MNG_V
3,vdd_io_0_v,PAD_VDD_IO_V
4,vdd_io_1_v,PAD_VDD_IO_V
5,vdd_io_2_v,PAD_VDD_IO_V
6,vss_io_0_v,PAD_VSS_IO_V
7,vss_io_1_v,PAD_VSS_IO_V
8,vss_io_2_v,PAD_VSS_IO_V
9,vdd_core_0_v,PAD_VDD_CORE_V
10,vdd_core_1_v,PAD_VDD_CORE_V
11,vdd_core_2_v,PAD_VDD_CORE_V
12,vss_core_0_v,PAD_VSS_CORE_V
13,vss_core_1_v,PAD_VSS_CORE_V
14,pwr_mng_east,PAD_PWR_MNG_H
15,vdd_io_0_h,PAD_VDD_IO_H
16,vdd_io_1_h,PAD_VDD_IO_H
17,vdd_io_2_h,PAD_VDD_IO_H
18,vss_io_0_h,PAD_VSS_IO_H
19,vss_io_1_h,PAD_VSS_IO_H
20,vss_io_2_h,PAD_VSS_IO_H
21,vdd_core_0_h,PAD_VDD_CORE_H
22,vdd_core_1_h,PAD_VDD_CORE_H
23,vdd_core_2_h,PAD_VDD_CORE_H
24,vss_core_0_h,PAD_VSS_CORE_H
25,vss_core_1_h,PAD_VSS_CORE_H
26,hyper_phy1_cs_n_0,PAD_BIDIR_V
27,hyper_phy1_cs_n_1,PAD_BIDIR_V
28,hyper_phy1_ck,PAD_BIDIR_V
29,hyper_phy1_ck_n,PAD_BIDIR_V
30,hyper_phy1_rwds,PAD_BIDIR_V
31,hyper_phy1_reset_n,PAD_BIDIR_V
32,hyper_phy1_dq_b0,PAD_BIDIR_V
33,hyper_phy1_dq_b1,PAD_BIDIR_V
34,hyper_phy1_dq_b2,PAD_BIDIR_V
35,hyper_phy1_dq_b3,PAD_BIDIR_V
36,hyper_phy1_dq_b4,PAD_BIDIR_V
37,hyper_phy1_dq_b5,PAD_BIDIR_V
38,hyper_phy1_dq_b6,PAD_BIDIR_V
39,hyper_phy1_dq_b7,PAD_BIDIR_V
40,hyper_phy0_cs_n_0,PAD_BIDIR_H
41,hyper_phy0_cs_n_1,PAD_BIDIR_H
42,hyper_phy0_ck,PAD_BIDIR_H
43,hyper_phy0_ck_n,PAD_BIDIR_H
44,hyper_phy0_rwds,PAD_BIDIR_H
45,hyper_phy0_reset_n,PAD_BIDIR_H
46,hyper_phy0_dq_b0,PAD_BIDIR_H
47,hyper_phy0_dq_b1,PAD_BIDIR_H
48,hyper_phy0_dq_b2,PAD_BIDIR_H
49,hyper_phy0_dq_b3,PAD_BIDIR_H
50,hyper_phy0_dq_b4,PAD_BIDIR_H
51,hyper_phy0_dq_b5,PAD_BIDIR_H
52,hyper_phy0_dq_b6,PAD_BIDIR_H
53,hyper_phy0_dq_b7,PAD_BIDIR_H
