pad_nr,pad_name,type
0,config_tc_pad,CONFIG_TC_PAD_DEF
1,corner_0,PAD_CORNER
2,corner_1,PAD_CORNER
3,pwr_mng_south,PAD_PWR_MNG_V
4,vdd_io_0_v,PAD_VDD_IO_V
5,vdd_io_1_v,PAD_VDD_IO_V
6,vss_io_0_v,PAD_VSS_IO_V
7,vss_io_1_v,PAD_VSS_IO_V
8,vdd_core_0_v,PAD_VDD_CORE_V
9,vdd_core_1_v,PAD_VDD_CORE_V
10,vdd_core_2_v,PAD_VDD_CORE_V
11,vss_core_0_v,PAD_VSS_CORE_V
12,vss_core_1_v,PAD_VSS_CORE_V
13,ot_boot_mode,PAD_INPUT_V
14,jtag_ot_tclk,PAD_INPUT_V
15,jtag_ot_trst_n,PAD_INPUT_V
16,jtag_ot_tms,PAD_INPUT_V
17,jtag_ot_tdi,PAD_INPUT_V
18,jtag_ot_tdo,PAD_OUTPUT_V
19,ot_uart_tx,PAD_OUTPUT_V
20,ot_uart_rx,PAD_INPUT_V
21,spih_sck,PAD_OUTPUT_V
22,spih_csb,PAD_OUTPUT_V
23,spih_sd_0,PAD_BIDIR_V
24,spih_sd_1,PAD_BIDIR_V
25,spih_sd_2,PAD_BIDIR_V
26,spih_sd_3,PAD_BIDIR_V
27,gpio_2,PAD_BIDIR_V
28,gpio_3,PAD_BIDIR_V
29,spih_ot_sd_1,PAD_BIDIR_V
30,spih_ot_sd_2,PAD_BIDIR_V
31,spih_ot_sd_3,PAD_BIDIR_V
32,pwr_mng_west,PAD_PWR_MNG_H
33,vdd_io_0_h,PAD_VDD_IO_H
34,vdd_io_1_h,PAD_VDD_IO_H
35,vss_io_0_h,PAD_VSS_IO_H
36,vss_io_1_h,PAD_VSS_IO_H
37,vdd_core_0_h,PAD_VDD_CORE_H
38,vdd_core_1_h,PAD_VDD_CORE_H
39,vss_core_0_h,PAD_VSS_CORE_H
40,vss_core_1_h,PAD_VSS_CORE_H
41,ref_clk,PAD_INPUT_H
42,fll_host,PAD_OUTPUT_H
43,fll_secd,PAD_OUTPUT_H
44,fll_bypass,PAD_INPUT_H
45,pwr_on_rst_n,PAD_INPUT_H
46,boot_mode_0,PAD_INPUT_H
47,boot_mode_1,PAD_INPUT_H
48,secure_boot,PAD_INPUT_H
49,jtag_tclk,PAD_INPUT_H
50,jtag_trst_n,PAD_INPUT_H
51,jtag_tms,PAD_INPUT_H
52,jtag_tdi,PAD_INPUT_H
53,jtag_tdo,PAD_OUTPUT_H
54,uart_tx,PAD_OUTPUT_H
55,uart_rx,PAD_INPUT_H
56,gpio_0,PAD_BIDIR_H
57,gpio_1,PAD_BIDIR_H
58,spih_ot_sck,PAD_OUTPUT_H
59,spih_ot_csb,PAD_OUTPUT_H
60,spih_ot_sd_0,PAD_BIDIR_H
61,corner_2,PAD_CORNER
62,corner_3,PAD_CORNER
63,pwr_mng_north,PAD_PWR_MNG_V
64,vdd_io_2_v,PAD_VDD_IO_V
65,vdd_io_3_v,PAD_VDD_IO_V
66,vdd_io_4_v,PAD_VDD_IO_V
67,vss_io_2_v,PAD_VSS_IO_V
68,vss_io_3_v,PAD_VSS_IO_V
69,vss_io_4_v,PAD_VSS_IO_V
70,vdd_core_3_v,PAD_VDD_CORE_V
71,vdd_core_4_v,PAD_VDD_CORE_V
72,vdd_core_5_v,PAD_VDD_CORE_V
73,vss_core_2_v,PAD_VSS_CORE_V
74,vss_core_3_v,PAD_VSS_CORE_V
75,hyper_1_cs_0_n,PAD_OUTPUT_V
76,hyper_1_cs_1_n,PAD_OUTPUT_V
77,hyper_1_ck,PAD_OUTPUT_V
78,hyper_1_ck_n,PAD_OUTPUT_V
79,hyper_1_rwds,PAD_BIDIR_V
80,hyper_1_reset_n,PAD_OUTPUT_V
81,hyper_1_dq_0,PAD_BIDIR_V
82,hyper_1_dq_1,PAD_BIDIR_V
83,hyper_1_dq_2,PAD_BIDIR_V
84,hyper_1_dq_3,PAD_BIDIR_V
85,hyper_1_dq_4,PAD_BIDIR_V
86,hyper_1_dq_5,PAD_BIDIR_V
87,hyper_1_dq_6,PAD_BIDIR_V
88,hyper_1_dq_7,PAD_BIDIR_V
89,pwr_mng_east,PAD_PWR_MNG_H
90,vdd_io_2_h,PAD_VDD_IO_H
91,vdd_io_3_h,PAD_VDD_IO_H
92,vdd_io_4_h,PAD_VDD_IO_H
93,vss_io_2_h,PAD_VSS_IO_H
94,vss_io_3_h,PAD_VSS_IO_H
95,vss_io_4_h,PAD_VSS_IO_H
96,vdd_core_2_h,PAD_VDD_CORE_H
97,vdd_core_3_h,PAD_VDD_CORE_H
98,vdd_core_4_h,PAD_VDD_CORE_H
99,vss_core_2_h,PAD_VSS_CORE_H
100,vss_core_3_h,PAD_VSS_CORE_H
101,hyper_0_cs_0_n,PAD_OUTPUT_H
102,hyper_0_cs_1_n,PAD_OUTPUT_H
103,hyper_0_ck,PAD_OUTPUT_H
104,hyper_0_ck_n,PAD_OUTPUT_H
105,hyper_0_rwds,PAD_BIDIR_H
106,hyper_0_reset_n,PAD_OUTPUT_H
107,hyper_0_dq_0,PAD_BIDIR_H
108,hyper_0_dq_1,PAD_BIDIR_H
109,hyper_0_dq_2,PAD_BIDIR_H
110,hyper_0_dq_3,PAD_BIDIR_H
111,hyper_0_dq_4,PAD_BIDIR_H
112,hyper_0_dq_5,PAD_BIDIR_H
113,hyper_0_dq_6,PAD_BIDIR_H
114,hyper_0_dq_7,PAD_BIDIR_H
