Name,Bits,SW Access,HW Access,HWQE Access,Default Value,Comment
VERSION0,32,ro,none,0,0,Cheshire sha256 commit
VERSION1,32,ro,none,0,0,Safety Island sha256 commit
VERSION2,32,ro,none,0,0,Security Island sha256 commit
VERSION3,32,ro,none,0,0,PULP Cluster sha256 commit
VERSION4,32,ro,none,0,0,Spatz CLuster sha256 commit
JEDEC_IDCODE,32,rw,none,0,0,JEDEC ID CODE -TODO assign-
GENERIC_SCRATCH0,32,rw,hrw,0,0,Scratch
GENERIC_SCRATCH1,32,rw,hrw,0,0,Scratch
HOST_RST,1,ro,hro,0,0,"Host Domain reset -active high, inverted in HW-"
PERIPH_RST,1,rw,hro,0,0,"Periph Domain reset -active high, inverted in HW-"
SECURITY_ISLAND_RST,1,rw,hro,0,0,"Security Island reset -active high, inverted in HW-"
PERIPH_ISOLATE,1,rw,hro,0,0,Periph Domain  AXI isolate
SECURITY_ISLAND_ISOLATE,1,rw,hro,0,1,Security Island AXI isolate
PERIPH_ISOLATE_STATUS,1,rw,hwo,0,0,Periph Domain AXI isolate status
SECURITY_ISLAND_ISOLATE_STATUS,1,rw,hwo,0,0,Security Island AXI isolate status
PERIPH_CLK_EN,1,rw,hro,0,1,Periph Domain clk gate enable
SECURITY_ISLAND_CLK_EN,1,rw,hro,0,0,Security Island clk gate enable
PERIPH_CLK_SEL,2,rw,hro,0,0,"Periph Domain fll select (0 -> host fll, 1 -> periph fll, 2 -> secd fll)"
SECURITY_ISLAND_CLK_SEL,2,rw,hro,0,1,"Security Island fll select (0 -> host fll, 1 -> periph fll, 2 -> secd fll)"
PERIPH_CLK_DIV_VALUE,24,rw,hro,1,1,Periph Domain clk divider value
SECURITY_ISLAND_CLK_DIV_VALUE,24,rw,hro,1,1,Security Island clk divider value
HOST_FETCH_ENABLE,1,ro,hro,0,0,Host Domain fetch enable
SECURITY_ISLAND_FETCH_ENABLE,1,rw,hro,0,0,Security Island fetch enable
HOST_BOOT_ADDR,32,rw,hro,0,0x1000,Host boot address
SECURITY_ISLAND_BOOT_ADDR,32,rw,hro,0,0x70000000,Security Island boot address
HYPERBUS_CLK_DIV_EN,1,rw,hro,1,1,Hyperbus clock divider enable bit
HYPERBUS_CLK_DIV_VALUE,20,rw,hro,1,1,Hyperbus clock divider value
FLL_LOCK,5,ro,hrw,0,0,FLL lock status
HOST_DEBUG_CLK_EN,1,rw,hro,0,1,Host domain debug clock divider (default active)
SECURED_DEBUG_CLK_EN,1,rw,hro,0,1,Secure domain debug clock divider (default active)
PERIPH_DEBUG_CLK_EN,1,rw,hro,0,1,Peripheral domain debug clock divider (default active)
HOST_DEBUG_CLK_DIV_VALUE,24,rw,hro,1,10,Host Domain debug clk divider value
SECURED_DEBUG_CLK_DIV_VALUE,24,rw,hro,1,10,Secure Domain debug clk divider value
PERIPH_DEBUG_CLK_DIV_VALUE,24,rw,hro,1,10,Peripheral Domain debug clk divider value
