pad_nr,pad_name,type
0,config_tc_pad,CONFIG_TC_PAD_DEF
1,corner_0,PAD_CORNER
2,corner_1,PAD_CORNER
3,corner_2,PAD_CORNER
4,pwr_mng_west,PAD_PWR_MNG_H
5,vdd_io_0_h,PAD_VDD_IO_H
6,vdd_io_1_h,PAD_VDD_IO_H
7,vss_io_0_h,PAD_VSS_IO_H
8,vss_io_1_h,PAD_VSS_IO_H
9,vdd_core_0_h,PAD_VDD_CORE_H
10,vdd_core_1_h,PAD_VDD_CORE_H
11,vdd_core_2_h,PAD_VDD_CORE_H
12,vss_core_0_h,PAD_VSS_CORE_H
13,vss_core_1_h,PAD_VSS_CORE_H
14,fll_host,PAD_OUTPUT_H
15,fll_secd,PAD_OUTPUT_H
16,fll_bypass,PAD_INPUT_H
17,pwr_on_rst_n,PAD_INPUT_H
18,boot_mode_0,PAD_INPUT_H
19,boot_mode_1,PAD_INPUT_H
20,secure_boot,PAD_INPUT_H
21,ref_clk,PAD_INPUT_H
22,jtag_tclk,PAD_INPUT_H
23,jtag_trst_n,PAD_INPUT_H
24,jtag_tms,PAD_INPUT_H
25,jtag_tdi,PAD_INPUT_H
26,jtag_tdo,PAD_OUTPUT_H
27,uart_tx,PAD_OUTPUT_H
28,uart_rx,PAD_INPUT_H
29,gpio_0,PAD_BIDIR_H
30,gpio_1,PAD_BIDIR_H
31,gpio_2,PAD_BIDIR_H
32,gpio_3,PAD_BIDIR_H
33,pwr_mng_south,PAD_PWR_MNG_V
34,vdd_io_0_v,PAD_VDD_IO_V
35,vdd_io_1_v,PAD_VDD_IO_V
36,vss_io_0_v,PAD_VSS_IO_V
37,vss_io_1_v,PAD_VSS_IO_V
38,vdd_core_0_v,PAD_VDD_CORE_V
39,vdd_core_1_v,PAD_VDD_CORE_V
40,vss_core_0_v,PAD_VSS_CORE_V
41,vss_core_1_v,PAD_VSS_CORE_V
42,ot_boot_mode,PAD_INPUT_V
43,jtag_ot_tclk,PAD_INPUT_V
44,jtag_ot_trst_n,PAD_INPUT_V
45,jtag_ot_tms,PAD_INPUT_V
46,jtag_ot_tdi,PAD_INPUT_V
47,jtag_ot_tdo,PAD_OUTPUT_V
48,ot_uart_tx,PAD_OUTPUT_V
49,ot_uart_rx,PAD_INPUT_V
50,spih_sck,PAD_OUTPUT_V
51,spih_csb,PAD_OUTPUT_V
52,spih_sd_0,PAD_BIDIR_V
53,spih_sd_1,PAD_BIDIR_V
54,spih_sd_2,PAD_BIDIR_V
55,spih_sd_3,PAD_BIDIR_V
56,spih_ot_sck,PAD_OUTPUT_V
57,spih_ot_csb,PAD_OUTPUT_V
58,spih_ot_sd_0,PAD_BIDIR_V
59,spih_ot_sd_1,PAD_BIDIR_V
60,spih_ot_sd_2,PAD_BIDIR_V
61,spih_ot_sd_3,PAD_BIDIR_V
